,Dateiname,Textnummer,Zeichenanzahl,Titel,Bibliographischer Nachweis,Sprache,Erscheinungsort,Jahr,Postume Nachdrucke,Entsprechungen in Buchwerken,lat,lng
0,1789-Lettre_a_L-1,I.1,19830.0,"Lettre à L’Auteur de cette Feuille; sur le Bohon-Upas, par un jeune Gentilhomme de cette ville Ü","in: Gazette littéraire de Berlin 1270 (5. Januar 1789), S. 4–8; 1271 (12. Januar 1789), S. 11–13.",Französisch,Berlin,1789,,,52.52437,13.41053
1,1789-Lettre_a_L-2-neu,I.1,13361.0,Ueber den Bohon Uppas,"übersetzt von [Friedrich Albrecht Anton?] Meyer, in: Olla Potrida 2 (1790), S. 70–78.",Deutsch,Berlin,1790,,,52.52437,13.41053
2,1790-Abhandlung_vom_Wasser-1,I.2,4613.0,Abhandlung vom Wasser im Basalt,"in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufacturen 7:1:5 (1790), S. 414–418.",Deutsch,Helmstedt; Leipzig,1790,,,52.2279,11.00985
3,1790-Observatio_critica_de-1,I.3,5935.0,Observatio critica de Elymi hystricis charactere Ü,"in: Magazin für die Botanik 3:7 (1790), S. 3–6; 3:9 (1790), S. 32.","Deutsch, Latein",Zürich,1790,,,47.36667,8.55
4,1790-Verhandeling_over_de-1,I.4,3887.0,"Verhandeling over de inlandsche Plantgevvassen […]; door Steven Jan van Geuns, Matth. Z. Haarlem 1789. 8. [Besprechung]","in: Magazin für die Botanik 4:10 (1790), S. 149–151.",Deutsch,Zürich,1790,,,47.36667,8.55
5,1790-Vom_Hrn_von-1,I.5,1723.0,"Vom Hrn von Humbold, dem Jüngern, in Hamburg","in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufacturen 7:2:12 (1790), S. 525–526.",Deutsch,Helmstedt,1790,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 101-102.",,52.2279,11.00985
6,1790-xxx_Kurze_Nachrichten-1,I.6,4296.0,[Kurze Nachrichten],"in: Magazin für die Botanik 4:11 (1790), S. 185–188.",Deutsch,Zürich,1790,"Lange, Fritz G[ustav]: Alexander von Humbolt und Paulus Usteri. Unbekannte Jugendbriefe Humboldts, in: Beiträge zur Geschichte der Naturwissenschaften, Technik und Medizin, herausgegeben zum 60. Geburtstag Gerhard Harigs (= Schriftenreihe für Geschichte der Naturwissenschaften, Technik und Medizin. Beiheft), Leipzig 1964, S. 221.Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 95–99. [nach Briefmanuskript]",,47.36667,8.55
7,1790-xxx_Richtigstellung-1,I.7,826.0,[Richtigstellung],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 155 (20. November 1790), Sp. 1280.",Deutsch,Jena,1790,,,50.92878,11.5899
8,1791-Auszuege_aus_Briefen-1,I.8,1443.0,Auszüge aus Briefen,"in: Annalen der Botanick 1:2 (1791), S. 193.",Deutsch,Zürich,1791,"Lange, Fritz G[ustav]: Alexander von Humbolt und Paulus Usteri. Unbekannte Jugendbriefe Humboldts, in: Beiträge zur Geschichte der Naturwissenschaften, Technik und Medizin, herausgegeben zum 60. Geburtstag Gerhard Harigs (= Schriftenreihe für Geschichte der Naturwissenschaften, Technik und Medizin. Beiheft), Leipzig 1964, S. 222.Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 151–153. [nach Briefmanuskript]",,47.36667,8.55
9,1791-Beobachtungen_auf_Reisen-1,I.9,10379.0,"Beobachtungen auf Reisen nach dem Riesengebirge, von Johann Jirasek, Thaddaeus Haenke, Abbé Gruber und Franz Gerstner, mit Kupfern. Dresden, bey Walther. 1791. 4. (270 Seit.) [Besprechung]","in: Annalen der Botanick 1:1 (1791), S. 78–83.",Deutsch,Zürich,1791,,,47.36667,8.55
